Astronomy & Cosmology,Biographies & Memoirs,Biology & Life Sciences,Business & Productivity,Childhood,Children's Literature,Classics,Climate & Environment,Computer Science,Contemporary & Literary Fiction,Engineering & Physics,Fantasy,Finance & Investing,Food & Cookbooks,Health & Fitness,Historical Fiction,History & Politics,Horror,LGBTQ+ Fiction,Language & Education,Language Learning,Magical Realism,Medicine & Neuroscience,Mystery & Thriller,Philosophical Fiction,Philosophy & Thought,Psychology & Self-Help,Religion & Spirituality,Romance,Science Fiction,Social Justice & Activism,Travel & Adventure,True Crime,Uncategorized,Young Adult
Cosmos,Born a Crime: Stories From a South African Childhood,,"The Upstarts: How Uber, Airbnb, and the Killer Companies of the New Silicon Valley Are Changing the World",,,A Midsummer Nights Dream,,Invent Your Own Computer Games With Python,Flowers for Algernon,,"A Clash of Kings  (A Song of Ice and Fire, #2)",,,,The Kite Runner,Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty,Frankenstein: The 1818 Text,,,,,,The Woman in White,On the Heights of Despair,Discipline and Punish: The Birth of the Prison,Low Tech Life: A Guide to Mindful Digital Minimalism,Tafsir Ibn Kathir Volume 1 0f 10,,"Dune (Dune, #1)",,,,,"Calvin and Hobbes (Calvin and Hobbes, #1)"
Astrophysics for People in a Hurry,Wild Swans: Three Daughters of China,,The Cold Start Problem: How to Start and Scale Network Effects,,,Macbeth,,"Python Crash Course: A Hands-On, Project-Based Introduction to Programming",After Dark,,"A Game of Thrones (A Song of Ice and Fire, #1)",,,,A Thousand Splendid Suns,Shakespeare's Sisters: How Women Wrote the Renaissance,The Invisible Man,,,,,,The Girl on the Train,"How to Tell When We Will Die: On Pain, Disability, and Doom",On the Genealogy of Morals,Scarcity Brain: Fix Your Craving Mindset and Rewire Your Habits to Thrive with Enough,The Purpose of Life,,,,,,,"Crooked Kingdom (Six of Crows, #2)"
A Brief History of Time,Vincent and Theo: The Van Gogh Brothers,,Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,,,Hamlet,,"Generative Deep Learning: Teaching Machines to Paint, Write, Compose, and Play",Kafka on the Shore,,"A Court of Silver Flames (A Court of Thorns and Roses, #4)",,,,Pachinko,Women in the Valley of the Kings: The Untold Story of Women Egyptologists in the Gilded Age,"The Haunted Car (Goosebumps Series 2000, #21)",,,,,,The DaVinci Code: A Quest for Answers,Erotism: Death and Sensuality,The Gay Science: With a Prelude in Rhymes and an Appendix of Songs,How to Not Die Alone: The Surprising Science That Will Help You Find Love,Baal-e-Jibreel,,,,,,,Where the Sidewalk Ends: Poems and Drawings
,What I Talk About When I Talk About Running,,"Endure: How to Work Hard, Outlast, and Keep Hammering",,,Romeo and Juliet,,"Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps",Novelist as a Vocation,,The Magic Shop,,,,Musashi,"Rousseau and Revolution (The Story of Civilization, #10)",,,,,,,And Then There Were None,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Spinoza: Practical Philosophy,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life...,Shikwa and Jawab-i-Shikwa: Iqbal's Dialogue with Allah,,,,,,,"Crank Palace (The Maze Runner, #3.5)"
,Billion Dollar Loser: The Epic Rise and Spectacular Fall of Adam Neumann and WeWork,,Extreme Ownership: How U.S. Navy SEALs Lead and Win,,,The Dream of a Ridiculous Man,,Deep Learning for Coders with Fastai and Pytorch: AI Applications Without a PhD,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",,,,"Unbroken: A World War II Story of Survival, Resilience and Redemption","The Age of Napoleon (The Story of Civilization, #11)",,,,,,,Brighton Rock,Atlas Shrugged,Ethics,"The Secret (The Secret, #1)",Mazhab aur science,,,,,,,"The Death Cure (The Maze Runner, #3)"
,The Nvidia Way: Jensen Huang and the Making of a Tech Giant,,The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime!,,,The Christmas Tree and the Wedding,,Designing Data-Intensive Applications,The Princess Bride,,Alices Adventures in Wonderland / Through the Looking-Glass,,,,Roxana,"The Renaissance (The Story of Civilization, #5)",,,,,,,"The Case-Book of Sherlock Holmes (Sherlock Holmes, #9)",The Extinction of Experience: Being Human in a Disembodied World,De Anima (On the Soul),The 7 Habits of Highly Effective People,Divine Speech,,,,,,,"The Scorch Trials (The Maze Runner, #2)"
,Alibaba: The House That Jack Ma Built,,Source Code: My Beginnings,,,Poor People and A Little Hero,,Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications,A Man Called Ove,,"Bilbo's Last Song (Middle Earth, #4.5)",,,,The Underground Railroad,"The Age of Faith (The Story of Civilization, #4)",,,,,,,"His Last Bow (Sherlock Holmes, #8)",Blindness,The Art of Rhetoric,Real Superpowers That Will Change Your Life,Secrets of Divine Love: A Spiritual Journey into the Heart of Islam,,,,,,,"The Maze Runner (The Maze Runner, #1)"
,Between Two Kingdoms: A Memoir of a Life Interrupted,,The Idea Factory: Bell Labs and the Great Age of American Innovation,,,Howards End,,Deep Learning with Python,What You Are Looking For Is in the Library,,"The Return of the King (The Lord of the Rings, #3)",,,,North and South,Story of Civilization,,,,,,,"The Valley of Fear (Sherlock Holmes, #7)",Gravitys Rainbow,Poetics,The Good Mother Myth: Unlearning Our Bad Ideas About How to Be a Good Mom,,,,,,,,"The Giver (The Giver, #1)"
,The Dressmakers of Auschwitz: The True Story of the Women Who Sewed to Survive,,"Delay, Deny, Defend: Why Insurance Companies Don't Pay Claims and What You Can Do About It",,,The Old Man and the Sea,,LLM Engineer's Handbook: Master the art of engineering large language models from concept to production,Earthlings,,"The Two Towers (The Lord of the Rings, #2)",,,,Rebecca,"Caesar and Christ (Story of Civilization, #3)",,,,,,,"The Return of Sherlock Holmes (Sherlock Holmes, #6)",Maldoror and the Complete Works,Metaphysics,How To: Absurd Scientific Advice for Common Real-World Problems,,,,,,,,"Holes (Holes, #1)"
,Butts: A Backstory,,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,,,Northanger Abbey,,Hands-On Machine Learning with Scikit-Learn and TensorFlow,Almond,,"The Fellowship of the Ring (The Lord of the Rings, #1)",,,,Around the World in Eighty Days,"The Life of Greece (The Story of Civilization, #2)",,,,,,,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Letter to His Father,The Marx-Engels Reader,How to Do Nothing: Resisting the Attention Economy,,,,,,,,Paper Towns
,Code Name: Lise: The True Story of the Woman Who Became WWII's Most Highly Decorated Spy,,The Pragmatic Programmer: From Journeyman to Master,,,Lady Susan,,Data Science from Scratch: First Principles with Python,The Sailor Who Fell from Grace with the Sea,,"The Hobbit, or There and Back Again",,,,A Journal of the Plague Year,The Greatest Minds and Ideas of All Time,,,,,,,"The Memoirs of Sherlock Holmes (Sherlock Holmes, #4)",Zaboor-e-Ajam,Nonsense on Stilts: How to Tell Science from Bunk,Models: Attract Women Through Honesty,,,,,,,,Looking for Alaska
,The Elements of Marie Curie: How the Glow of Radium Lit a Path for Women in Science,,The Unicorn Project,,,Sense and Sensibility,,Python for Data Analysis,Daughters of Shandong,,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",,,,"Little Women (Little Women, #1)","Our Oriental Heritage (The Story of Civilization, #1)",,,,,,,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Javed Nama (Urdu) /  ,The Society of the Spectacle,Four Thousand Weeks: Time Management for Mortals,,,,,,,,The Outsiders
,Jane Austen's Bookshelf: A Rare Book Collector's Quest to Find the Women Writers Who Shaped a Legend,,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",,,Persuasion,,Algorithms to Live By: The Computer Science of Human Decisions,In the Miso Soup,,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",,,,Moll Flanders,The Lessons of History,,,,,,,"The Sign of Four (Sherlock Holmes, #2)",No Longer Human,My System: A Treatise on Chess (Tartan Books),Psycho-Cybernetics: A New Way to Get More Living Out of Life,,,,,,,,"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)"
,Propaganda Girls: The Secret War of the Women in the OSS,,The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,,,Middlemarch,,Introduction to Algorithms,I Heard the Owl Call My Name,,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",,,,Gone with the Wind,Freedom At Midnight,,,,,,,"A Study in Scarlet (Sherlock Holmes, #1)",The Judgement (Short Story),The Alchemy of Happiness,"The Masculine in Relationship: A Blueprint for Inspiring the Trust, Lust, and Devotion of a Strong Woman",,,,,,,,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)"
,The Dream Machine: J.C.R. Licklider and the Revolution That Made Computing Personal,,Soft Skills: The Software Developer's Life Manual,,,Tess of the DUrbervilles,,A Thousand Brains: A New Theory of Intelligence,On the Road,,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",,,,Civil War Stories,Jinnah of Pakistan,,,,,,,"The Talented Mr. Ripley (Ripley, #1)",The Great Wall of China,  ,"Take Command: Find Your Inner Strength, Build Enduring Relationships, and Live the Life You Want (Dale Carnegie Books)",,,,,,,,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)"
,The Man from the Future: The Visionary Ideas of John von Neumann,,Essentialism: The Disciplined Pursuit of Less,,,The Scarlet Letter,,Practical Statistics for Data Scientists: 50 Essential Concepts,Ethan Frome,,"Harry Potter and the Sorcerers Stone (Harry Potter, #1)",,,,The Prince and the Pauper,The JFK Conspiracy: The Secret Plot to Kill Kennedyand Why It Failed,,,,,,,"Angels & Demons (Robert Langdon, #1)",Three Questions,Mutluluun Kazanlmas (Tahsilu's-Sa'ada),"Firestarters: How Innovators, Instigators, and Initiators Can Inspire You to Ignite Your Own Life",,,,,,,,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)"
,A Mind at Play: How Claude Shannon Invented the Information Age,,"How Life Imitates Chess: Making the Right Moves, from the Board to the Boardroom",,,The Iliad,,"The Rust Programming Language, 2nd Edition",The Awakening,,James and the Giant Peach,,,,A Tale of Two Cities,Cobalt Red: How the Blood of the Congo Powers Our Lives,,,,,,,"The da Vinci Code (Robert Langdon, #2)",The Razors Edge,    ,The Uni-Verse: The Ultimate Guide to Surviving University,,,,,,,,The Fault in Our Stars
,Mr. and Mrs. Jinnah: The Marriage that Shook India,,Logical Chess - Move By Move,,,The Odyssey,,"The Charisma Machine: The Life, Death, and Legacy of One Laptop per Child (Infrastructures)",Breakfast at Tiffanys and Three Stories,,,,,,The Count of Monte Cristo,The Bookshop: A History of the American Bookstore,,,,,,,The Complete Sherlock Holmes,Nadja,Alfarabi's Philosophy of Plato and Aristotle,The Art of Statistics: How to Learn from Data,,,,,,,,"Mockingjay (The Hunger Games, #3)"
,Mark Twain,,How to Become a Straight-A Student,,,Treasure Island,,Chip War: The Fight for the World's Most Critical Technology,"Pinball, 1973 (The Rat, #2)",,,,,,The Diary of a Young Girl,Nuclear War: A Scenario,,,,,,,The Silent Patient,A Happy Death,"The Political Writings: ""Selected Aphorisms"" and Other Texts (Agora Editions) (VOLUME 1)",The End of Wisdom: Why Most Advice is Bullsh*t,,,,,,,,"Catching Fire (The Hunger Games, #2)"
,Crying in H Mart,,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,,,Heart of Darkness,,,Knee Ability Zero,,,,,,,The Ethnic Cleansing of Palestine,,,,,,,,The Myth of Sisyphus and Other Essays,"The Political Writings: ""Political Regime"" and ""Summary of Plato's Laws"" (Agora Editions)",The Creative Act: A Way of Being,,,,,,,,Les Aventures de Tom Sawyer - The Adventures of Tom Sawye
,When You Are Engulfed in Flames,,Clean Code: A Handbook of Agile Software Craftsmanship,,,Bleak House,,,"1Q84 (1Q84, #1-3)",,,,,,,Humankind: A Hopeful History,,,,,,,,The Myth of Sisyphus,Le recensement des sciences,"Help!: How to Be Slightly Happier, Slightly More Successful and Get a Bit More Done",,,,,,,,Charlottes Web
,Let's Pretend This Never Happened: A Mostly True Memoir,,Business Model Generation,,,Oliver Twist,,,Sea Prayer,,,,,,,Utopia for Realists: How We Can Build the Ideal World,,,,,,,,The Fall,Ibn Sinas Remarks and Admonitions: Physics and Metaphysics: An Analysis and Annotated Translation,Meditations for Mortals: Four Weeks to Embrace Your Limitations and Make Time for What Counts,,,,,,,,The Twilight Saga: The Official Illustrated Guide
,Know My Name,,How to Set Up Your Desk: A Guide to Fixing a (Surprisingly) Overlooked Productivity Problem,,,A Christmas Carol,,,In the Dream House,,,,,,,Upheaval: Turning Points for Nations in Crisis,,,,,,,,The Plague,The Metaphysics of The Healing,The Antidote: Happiness for People Who Can't Stand Positive Thinking,,,,,,,,"Midnight Sun (The Twilight Saga, #5)"
,Memoirs of a Geisha,,Chokepoint Capitalism: How Big Tech and Big Content Captured Creative Labor Markets and How We'll Win Them Back,,,Robinson Crusoe,,,Looking at Women Looking at War: A War and Justice Diary,,,,,,,The World Until Yesterday: What Can We Learn from Traditional Societies?,,,,,,,,The Stranger,       ,Everything Is F*cked: A Book About Hope,,,,,,,,"Breaking Dawn (The Twilight Saga, #4)"
