Title,Author,Category
Remembering the Kanji III: Writing and Reading Japanese Characters for Upper-Level Proficiency,James W. Heisig,Language Learning
Remembering the Kanji II: A Systematic Guide to Reading Japanese Characters (Remembering the Japanese Characters Series),James W. Heisig,Computer Science
Remembering the Kanji I: A Complete Course on How Not to Forget the Meaning and Writing of Japanese Characters,James W. Heisig,Psychology & Self-Help
The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,Medicine & Neuroscience
A Gentleman in Moscow,Amor Towles,Uncategorized
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,Biographies & Memoirs
The Moment of Lift: How Empowering Women Changes the World,Melinda French Gates,Biographies & Memoirs
Doing Good Better: How Effective Altruism Can Help You Make a Difference,William MacAskill,Philosophy & Thought
The Essays of Warren Buffett : Lessons for Corporate America,Warren Buffett,Finance & Investing
How to Win at College: Surprising Secrets for Success from the Country's Top Students,Cal Newport,Business & Productivity
The Ultimate Guide to Body Recomposition,Jeff Nippard,Health & Fitness
Working in Public: The Making and Maintenance of Open Source Software,Nadia Eghbal,Business & Productivity
"Be Water, My Friend: The Teachings of Bruce Lee",Shannon Lee,Biographies & Memoirs
In Order to Live: A North Korean Girl's Journey to Freedom,Yeonmi Park,Biographies & Memoirs
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kond,Psychology & Self-Help
The C Programming Language,Brian W. Kernighan,Computer Science
Men Who Hate Women,Laura Bates,Social Justice & Activism
Make Time: How to Focus on What Matters Every Day,Jake Knapp,Psychology & Self-Help
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,Young Adult
Star of the North,D.B. John,Contemporary & Literary Fiction
"Goodbye, Things: The New Japanese Minimalism",Fumio Sasaki,Psychology & Self-Help
Permanent Record,Edward Snowden,Biographies & Memoirs
The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan,Biology & Life Sciences
The Lincoln Highway,Amor Towles,Contemporary & Literary Fiction
Project Hail Mary,Andy Weir,Science Fiction
"iWoz: Computer Geek to Cult Icon: How I Invented the Personal Computer, Co-Founded Apple, and Had Fun Doing It",Steve Wozniak,Biographies & Memoirs
Forward: Notes on the Future of Our Democracy,Andrew   Yang,History & Politics
Originals: How Non-Conformists Move the World,Adam M. Grant,Business & Productivity
The Defining Decade: Why Your Twenties MatterAnd How to Make the Most of Them Now,Meg Jay,Psychology & Self-Help
The Scout Mindset: Why Some People See Things Clearly and Others Don't,Julia Galef,Psychology & Self-Help
The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin S. Sharma,Psychology & Self-Help
Fashionopolis: The Price of Fast Fashion and the Future of Clothes,Dana Thomas,Business & Productivity
Spark: The Revolutionary New Science of Exercise and the Brain,John J. Ratey,Medicine & Neuroscience
"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",Anne Fadiman,Biographies & Memoirs
Big Bang: The Origin of the Universe,Simon Singh,Astronomy & Cosmology
The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Simon Singh,Computer Science
Fermat's Enigma,Simon Singh,Astronomy & Cosmology
"Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, and the Fight to Fit In",Phuc  Tran,Biographies & Memoirs
"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,Business & Productivity
The Friendly Orange Glow: The Untold Story of the PLATO System and the Dawn of Cyberculture,Brian Dear,Computer Science
TED Talks: The Official TED Guide to Public Speaking,Chris J. Anderson,Psychology & Self-Help
The Travelling Cat Chronicles,Hiro Arikawa,Contemporary & Literary Fiction
Pour Your Heart Into It: How Starbucks Built a Company One Cup at a Time,Howard Schultz,Business & Productivity
Salems Lot,Stephen        King,Horror
"The Gunslinger (The Dark Tower, #1)",Stephen        King,Horror
Pet Sematary,Stephen        King,Horror
Carrie,Stephen        King,Horror
Misery,Stephen        King,Horror
The Stand,Stephen        King,Horror
It,Stephen        King,Horror
11/22/63,Stephen        King,Horror
"Hatching Twitter: A True Story of Money, Power, Friendship, and Betrayal",Nick Bilton,Biographies & Memoirs
Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader,Brent Schlender,Biographies & Memoirs
Uncanny Valley,Anna Wiener,Contemporary & Literary Fiction
Born a Crime: Stories From a South African Childhood,Trevor Noah,Biographies & Memoirs
Wild Swans: Three Daughters of China,Jung Chang,Biographies & Memoirs
"The Hundred Years War on Palestine: A History of Settler-Colonial Conquest and Resistance, 19172017",Rashid Khalidi,History & Politics
How to Hide an Empire: A History of the Greater United States,Daniel Immerwahr,History & Politics
The Rational Male,Rollo Tomassi,Psychology & Self-Help
American Gods,Neil Gaiman,Fantasy
Vincent and Theo: The Van Gogh Brothers,Deborah Heiligman,Biographies & Memoirs
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,True Crime
Command-Line Rust: A Project-Based Primer for Writing Rust CLIs,Ken Youens-Clark,Computer Science
What I Talk About When I Talk About Running,Haruki Murakami,Biographies & Memoirs
"Tales from the Caf (Before the Coffee Gets Cold, #2)",Toshikazu Kawaguchi,Contemporary & Literary Fiction
Cognitive Behavior Therapy: Basics and Beyond,Judith S. Beck,Psychology & Self-Help
Flowers for Algernon,Daniel Keyes,Contemporary & Literary Fiction
Plays With Cars,Doug DeMuro,Travel & Adventure
After Dark,Haruki Murakami,Contemporary & Literary Fiction
Kafka on the Shore,Haruki Murakami,Contemporary & Literary Fiction
Novelist as a Vocation,Haruki Murakami,Contemporary & Literary Fiction
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,Contemporary & Literary Fiction
Low Tech Life: A Guide to Mindful Digital Minimalism,Jos Briones,Psychology & Self-Help
The Princess Bride,William Goldman,Contemporary & Literary Fiction
Subprime Attention Crisis (FSG Originals x Logic),Tim Hwang,Business & Productivity
A Man Called Ove,Fredrik Backman,Contemporary & Literary Fiction
What You Are Looking For Is in the Library,Michiko Aoyama,Contemporary & Literary Fiction
Earthlings,Sayaka Murata,Contemporary & Literary Fiction
"Salvation of a Saint (Detective Galileo, #2)",Keigo Higashino,Mystery & Thriller
"The Devotion of Suspect X (Detective Galileo, #1)",Keigo Higashino,Mystery & Thriller
Traction: A Startup Guide to Getting Customers,Gabriel Weinberg,Business & Productivity
Predictable Revenue,Aaron Ross,Business & Productivity
"The Upstarts: How Uber, Airbnb, and the Killer Companies of the New Silicon Valley Are Changing the World",Brad Stone,Business & Productivity
The Cold Start Problem: How to Start and Scale Network Effects,Andrew Chen,Business & Productivity
Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,Business & Productivity
Scarcity Brain: Fix Your Craving Mindset and Rewire Your Habits to Thrive with Enough,Michael Easter,Psychology & Self-Help
Almond,Sohn Won-Pyung,Contemporary & Literary Fiction
The Temple of the Golden Pavilion,Yukio Mishima,Philosophical Fiction
Confessions of a Mask,Yukio Mishima,LGBTQ+ Fiction
The Sailor Who Fell from Grace with the Sea,Yukio Mishima,Contemporary & Literary Fiction
Daughters of Shandong,Eve J. Chung,Contemporary & Literary Fiction
In the Miso Soup,Ry Murakami,Contemporary & Literary Fiction
In Praise of Shadows,Jun'ichir Tanizaki,Philosophical Fiction
Billion Dollar Loser: The Epic Rise and Spectacular Fall of Adam Neumann and WeWork,Reeves  Wiedeman,Biographies & Memoirs
"Endure: How to Work Hard, Outlast, and Keep Hammering",Cameron R. Hanes,Business & Productivity
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,Business & Productivity
I Heard the Owl Call My Name,Margaret Craven,Contemporary & Literary Fiction
"Three Men in a Boat (Three Men, #1)",Jerome K. Jerome,Travel & Adventure
Marathon Man,William Goldman,Mystery & Thriller
Anthem,Ayn Rand,Classics
Planet of the Apes,Pierre Boulle,Science Fiction
On the Road,Jack Kerouac,Contemporary & Literary Fiction
Ethan Frome,Edith Wharton,Contemporary & Literary Fiction
Night,Elie Wiesel,Historical Fiction
The Awakening,Kate Chopin,Contemporary & Literary Fiction
The Legend of Sleepy Hollow,Washington Irving,Classics
Breakfast at Tiffanys and Three Stories,Truman Capote,Contemporary & Literary Fiction
We Have Always Lived in the Castle,Shirley Jackson,Mystery & Thriller
The Nvidia Way: Jensen Huang and the Making of a Tech Giant,Tae   Kim,Biographies & Memoirs
Material World: The Six Raw Materials That Shape Modern Civilization,Ed Conway,History & Politics
Five Decembers,James Kestrel,Mystery & Thriller
Fight Club,Chuck Palahniuk,Philosophical Fiction
"Pinball, 1973 (The Rat, #2)",Haruki Murakami,Contemporary & Literary Fiction
Knee Ability Zero,Ben Patrick,Contemporary & Literary Fiction
Musashi's Book of Five Rings: The Definitive Interpertation of Miyomoto Musashi's Classic Book of Strategy,Stephen F. Kaufman,Philosophy & Thought
How to Not Die Alone: The Surprising Science That Will Help You Find Love,Logan Ury,Psychology & Self-Help
An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,Ed Yong,Biology & Life Sciences
The Rise of the Ultra Runners: A Journey to the Edge of Human Endurance,Adharanand Finn,Health & Fitness
Ultramarathon Man: Confessions of an All-Night Runner,Dean Karnazes,Health & Fitness
"Finding Ultra: Rejecting Middle Age, Becoming One of the World's Fittest Men, and Discovering Myself",Rich Roll,Health & Fitness
"1Q84 (1Q84, #1-3)",Haruki Murakami,Contemporary & Literary Fiction
I Want to Eat Your Pancreas,Yoru Sumino,Young Adult
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime!,M.J. DeMarco,Business & Productivity
Alibaba: The House That Jack Ma Built,Duncan Clark,Biographies & Memoirs
The White Man's Burden: Why the West's Efforts to Aid the Rest Have Done So Much Ill and So Little Good,William Easterly,History & Politics
The End of Poverty: Economic Possibilities for Our Time,Jeffrey D. Sachs,History & Politics
Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty,Abhijit V. Banerjee,History & Politics
Silence,Shsaku End,Philosophical Fiction
Source Code: My Beginnings,Bill  Gates,Business & Productivity
Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life...,Spencer Johnson,Psychology & Self-Help
"The Secret (The Secret, #1)",Rhonda Byrne,Psychology & Self-Help
"Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life in Organisms, Cities, Economies, and Companies",Geoffrey B. West,Biology & Life Sciences
Complexity: The Emerging Science at the Edge of Order and Chaos,M. Mitchell Waldrop,Biology & Life Sciences
The 7 Habits of Highly Effective People,Stephen R. Covey,Psychology & Self-Help
Sea Prayer,Khaled Hosseini,Contemporary & Literary Fiction
The Metamorphosis,Franz Kafka,Philosophical Fiction
Collected Stories,Franz Kafka,Philosophical Fiction
A Faint Heart,Fyodor Dostoevsky,Classics
Real Superpowers That Will Change Your Life,The Math Sorcerer,Psychology & Self-Help
In the Dream House,Carmen Maria Machado,Contemporary & Literary Fiction
Between Two Kingdoms: A Memoir of a Life Interrupted,Suleika Jaouad,Biographies & Memoirs
The Dressmakers of Auschwitz: The True Story of the Women Who Sewed to Survive,Lucy Adlington,Biographies & Memoirs
Women in White Coats: How the First Women Doctors Changed the World of Medicine,Olivia Campbell,Medicine & Neuroscience
Butts: A Backstory,Heather Radke,Biographies & Memoirs
Code Name: Lise: The True Story of the Woman Who Became WWII's Most Highly Decorated Spy,Larry Loftis,Biographies & Memoirs
Shakespeare's Sisters: How Women Wrote the Renaissance,Ramie Targoff,History & Politics
The Elements of Marie Curie: How the Glow of Radium Lit a Path for Women in Science,Dava Sobel,Biographies & Memoirs
Women in the Valley of the Kings: The Untold Story of Women Egyptologists in the Gilded Age,Kathleen Sheppard,History & Politics
Jane Austen's Bookshelf: A Rare Book Collector's Quest to Find the Women Writers Who Shaped a Legend,Rebecca Romney,Biographies & Memoirs
Propaganda Girls: The Secret War of the Women in the OSS,Lisa Rogak,Biographies & Memoirs
Looking at Women Looking at War: A War and Justice Diary,Victoria Amelina,Contemporary & Literary Fiction
Wordslut: A Feminist Guide to Taking Back the English Language,Amanda Montell,Social Justice & Activism
"Blood: The Science, Medicine, and Mythology of Menstruation",Jen Gunter,Medicine & Neuroscience
White Tears/Brown Scars: How White Feminism Betrays Women of Color,Ruby Hamad,Social Justice & Activism
The Good Mother Myth: Unlearning Our Bad Ideas About How to Be a Good Mom,Nancy Reddy,Psychology & Self-Help
Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Prez,Social Justice & Activism
"Cleavage: Men, Women, and the Space Between Us",Jennifer Finney Boylan,LGBTQ+ Fiction
Want,Gillian Anderson,Contemporary & Literary Fiction
It's Not Hysteria: Everything You Need to Know About Your Reproductive Health (But Were Never Told),Karen Tang,Health & Fitness
Mottled Dawn: Fifty Sketches and Stories of Partition,Saadat Hasan Manto,Historical Fiction
Bombay Stories,Saadat Hasan Manto,Contemporary & Literary Fiction
Toba Tek Singh: Stories,Saadat Hasan Manto,Contemporary & Literary Fiction
Manto: Selected Stories,Saadat Hasan Manto,Contemporary & Literary Fiction
"Rousseau and Revolution (The Story of Civilization, #10)",Will Durant,History & Politics
"The Age of Napoleon (The Story of Civilization, #11)",Will Durant,History & Politics
"Fallen Leaves: Last Words on Life, Love, War, and God",Will Durant,Philosophy & Thought
"The Renaissance (The Story of Civilization, #5)",Will Durant,History & Politics
"The Age of Faith (The Story of Civilization, #4)",Will Durant,History & Politics
Story of Civilization,Will Durant,History & Politics
"Caesar and Christ (Story of Civilization, #3)",Will Durant,History & Politics
"The Life of Greece (The Story of Civilization, #2)",Will Durant,History & Politics
The Greatest Minds and Ideas of All Time,Will Durant,History & Politics
"Our Oriental Heritage (The Story of Civilization, #1)",Will Durant,History & Politics
The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers,Will Durant,Philosophy & Thought
The Lessons of History,Will Durant,History & Politics
The Pleasures of Philosophy,Durant,Philosophy & Thought
The Dream Machine: J.C.R. Licklider and the Revolution That Made Computing Personal,M. Mitchell Waldrop,Biographies & Memoirs
Where Wizards Stay Up Late: The Origins of the Internet,Katie Hafner,Computer Science
The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,Business & Productivity
The Man from the Future: The Visionary Ideas of John von Neumann,Ananyo Bhattacharya,Biographies & Memoirs
A Mind at Play: How Claude Shannon Invented the Information Age,Jimmy Soni,Biographies & Memoirs
Mr. and Mrs. Jinnah: The Marriage that Shook India,Sheela Reddy,Biographies & Memoirs
Freedom At Midnight,Dominique Lapierre,History & Politics
Jinnah of Pakistan,Stanley Wolpert,History & Politics
Roses in December,M.C. Chagla,Contemporary & Literary Fiction
Dead Souls,Nikolai Gogol,Classics
What's Wrong with the World,G.K. Chesterton,Philosophy & Thought
The JFK Conspiracy: The Secret Plot to Kill Kennedyand Why It Failed,Brad Meltzer,History & Politics
Three Wild Dogs and the Truth,Markus Zusak,Historical Fiction
"Pagan's Crusade (Pagan Chronicles, #1)",Catherine Jinks,Young Adult
   ,Jalal ad-Din Muhammad ar-Rumi,Philosophical Fiction
   ,Jalal ad-Din Muhammad ar-Rumi,Philosophical Fiction
 ,Jalal ad-Din Muhammad ar-Rumi,Philosophical Fiction
The Book of Love: Poems of Ecstasy and Longing,Jalal ad-Din Muhammad ar-Rumi,Philosophical Fiction
The Soul of Rumi: A New Collection of Ecstatic Poems,Jalal ad-Din Muhammad ar-Rumi,Religion & Spirituality
The Masnavi: Book Three,Jalal ad-Din Muhammad ar-Rumi,Philosophical Fiction
"The Masnavi, Book Two",Jalal ad-Din Muhammad ar-Rumi,Philosophy & Thought
The Masnavi: Book One,Jalal ad-Din Muhammad ar-Rumi,Philosophy & Thought
The Abolition of Man,C.S. Lewis,Philosophy & Thought
The Last Messiah,Peter Wessel Zapffe,Philosophical Fiction
On the Heights of Despair,Emil M. Cioran,Philosophical Fiction
The Palliative Society: Pain Today,Byung-Chul Han,Philosophy & Thought
Everything Is Tuberculosis: The History and Persistence of Our Deadliest Infection,John Green,Biology & Life Sciences
Mark Twain,Ron Chernow,Biographies & Memoirs
The Unabomber Manifesto: Industrial Society and Its Future,Theodore John Kaczynski,Philosophy & Thought
Confessions of an Eco-Sinner: Tracking Down the Sources of My Stuff,Fred Pearce,Climate & Environment
"Delay, Deny, Defend: Why Insurance Companies Don't Pay Claims and What You Can Do About It",Jay M. Feinman,Business & Productivity
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,Computer Science
The What If 100 Book: The Most Popular Hypothetical Scenarios Explained With Science,Underknown Corp.,Biology & Life Sciences
Thing Explainer: Complicated Stuff in Simple Words,Randall Munroe,Engineering & Physics
"What If? 2: Additional Serious Scientific Answers to Absurd Hypothetical Questions (What If?, #2)",Randall Munroe,Biology & Life Sciences
How To: Absurd Scientific Advice for Common Real-World Problems,Randall Munroe,Psychology & Self-Help
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,Astronomy & Cosmology
Cobalt Red: How the Blood of the Congo Powers Our Lives,Siddharth Kara,History & Politics
Trail of the Lost: The Relentless Search to Bring Home the Missing Hikers of the Pacific Crest Trail,Andrea Lankford,Travel & Adventure
The Bookshop: A History of the American Bookstore,Evan Friss,History & Politics
"How to Tell When We Will Die: On Pain, Disability, and Doom",Johanna Hedva,Philosophical Fiction
Framed: Astonishing True Stories of Wrongful Convictions,John Grisham,True Crime
All in Her Head: The Truth and Lies Early Medicine Taught Us About Women's Bodies and Why It Matters Today,Elizabeth Comen,Medicine & Neuroscience
Nuclear War: A Scenario,Annie Jacobsen,History & Politics
We Used to Live Here,Marcus Kliewer,Contemporary & Literary Fiction
You Like It Darker,Stephen        King,Horror
"Moon of the Crusted Snow (Moon, #1)",Waubgeshig Rice,Contemporary & Literary Fiction
"Moon of the Turning Leaves (Moon, #2)",Waubgeshig Rice,Contemporary & Literary Fiction
Bride,Ali Hazelwood,Romance
Funny Story,Emily Henry,Contemporary & Literary Fiction
The God of the Woods,Liz    Moore,Contemporary & Literary Fiction
The Booklover's Library,Madeline  Martin,Contemporary & Literary Fiction
The Women,Kristin Hannah,Historical Fiction
The Ethnic Cleansing of Palestine,Ilan Papp,History & Politics
HTML and CSS: Design and Build Websites,Jon Duckett,Computer Science
Intimations,Zadie Smith,Contemporary & Literary Fiction
Stay True,Hua Hsu,Contemporary & Literary Fiction
"Why Fish Dont Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller,Biology & Life Sciences
How to Do Nothing: Resisting the Attention Economy,Jenny Odell,Psychology & Self-Help
Crying in H Mart,Michelle Zauner,Biographies & Memoirs
Humankind: A Hopeful History,Rutger Bregman,History & Politics
Models: Attract Women Through Honesty,Mark Manson,Psychology & Self-Help
Philosophical Investigations,Ludwig Wittgenstein,Philosophy & Thought
Utopia for Realists: How We Can Build the Ideal World,Rutger Bregman,History & Politics
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,Psychology & Self-Help
Psycho-Cybernetics: A New Way to Get More Living Out of Life,Maxwell Maltz,Psychology & Self-Help
"The Masculine in Relationship: A Blueprint for Inspiring the Trust, Lust, and Devotion of a Strong Woman",G.S. Youngblood,Psychology & Self-Help
"Take Command: Find Your Inner Strength, Build Enduring Relationships, and Live the Life You Want (Dale Carnegie Books)",Joe   Hart,Psychology & Self-Help
Phenomenology of Perception,Maurice Merleau-Ponty,Philosophy & Thought
"Firestarters: How Innovators, Instigators, and Initiators Can Inspire You to Ignite Your Own Life",Raoul Davis Jr.,Psychology & Self-Help
The Uni-Verse: The Ultimate Guide to Surviving University,Jack  Edwards,Psychology & Self-Help
The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,Business & Productivity
Artificial Intelligence: A Guide for Thinking Humans,Melanie  Mitchell,Computer Science
The Art of Statistics: How to Learn from Data,David Spiegelhalter,Psychology & Self-Help
Hello World: Being Human in the Age of Algorithms,Hannah Fry,Computer Science
The Pragmatic Programmer: From Journeyman to Master,Dave         Thomas,Business & Productivity
The Unicorn Project,Gene Kim,Business & Productivity
"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,Business & Productivity
The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,Business & Productivity
Soft Skills: The Software Developer's Life Manual,John Z. Sonmez,Business & Productivity
PHP & MySQL: Server-side Web Development,Jon Duckett,Computer Science
JavaScript and jQuery: Interactive Front-End Web Development,Jon Duckett,Computer Science
The Sorrows of Young Werther,Johann Wolfgang von Goethe,Classics
The End of Wisdom: Why Most Advice is Bullsh*t,Farah Nabih Smaily,Psychology & Self-Help
The Creative Act: A Way of Being,Rick Rubin,Psychology & Self-Help
Upheaval: Turning Points for Nations in Crisis,Jared Diamond,History & Politics
Patterns Of Culture,Ruth Benedict,Philosophy & Thought
The World Until Yesterday: What Can We Learn from Traditional Societies?,Jared Diamond,History & Politics
Less Is More: How Degrowth Will Save the World,Jason Hickel,History & Politics
The Unseen Truth: When Race Changed Sight in America,Sarah   Lewis,Social Justice & Activism
Discipline and Punish: The Birth of the Prison,Michel Foucault,Philosophy & Thought
On the Genealogy of Morals,Friedrich Nietzsche,Philosophy & Thought
Erotism: Death and Sensuality,Georges Bataille,Philosophical Fiction
The Gay Science: With a Prelude in Rhymes and an Appendix of Songs,Friedrich Nietzsche,Philosophy & Thought
Spinoza: Practical Philosophy,Gilles Deleuze,Philosophy & Thought
Ethics,Baruch Spinoza,Philosophy & Thought
De Anima (On the Soul),Aristotle,Philosophy & Thought
The Art of Rhetoric,Aristotle,Philosophy & Thought
Physics,Aristotle,Engineering & Physics
Poetics,Aristotle,Philosophy & Thought
Metaphysics,Aristotle,Philosophy & Thought
"Help!: How to Be Slightly Happier, Slightly More Successful and Get a Bit More Done",Oliver Burkeman,Psychology & Self-Help
Meditations for Mortals: Four Weeks to Embrace Your Limitations and Make Time for What Counts,Oliver Burkeman,Psychology & Self-Help
The Antidote: Happiness for People Who Can't Stand Positive Thinking,Oliver Burkeman,Psychology & Self-Help
The Eighteenth Brumaire of Louis Bonaparte,Karl Marx,History & Politics
The Marx-Engels Reader,Karl Marx,Philosophy & Thought
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,Philosophical Fiction
Nonsense on Stilts: How to Tell Science from Bunk,Massimo Pigliucci,Philosophy & Thought
Bad Astronomy,Philip Plait,Astronomy & Cosmology
The Society of the Spectacle,Guy Debord,Philosophy & Thought
Orientalism,Edward W. Said,History & Politics
The Wretched of the Earth,Frantz Fanon,History & Politics
Das Kapital,Karl Marx,History & Politics
Capitalist Realism: Is There No Alternative?,Mark Fisher,History & Politics
The Communist Manifesto,Karl Marx,History & Politics
Elite Capture: How the Powerful Took Over Identity Politics (And Everything Else),Olfmi O. Tw,History & Politics
When You Are Engulfed in Flames,David Sedaris,Biographies & Memoirs
Let's Pretend This Never Happened: A Mostly True Memoir,Jenny  Lawson,Biographies & Memoirs
A Clockwork Orange,Anthony Burgess,Classics
Catch-22,Joseph Heller,Contemporary & Literary Fiction
Atlas Shrugged,Ayn Rand,Philosophical Fiction
One Flew Over the Cuckoos Nest,Ken Kesey,Contemporary & Literary Fiction
The Prime of Miss Jean Brodie,Muriel Spark,Contemporary & Literary Fiction
The Inmate,Freida McFadden,Mystery & Thriller
"The Perfect Marriage (Perfect, #1)",Jeneva Rose,Mystery & Thriller
Never Lie,Freida McFadden,Mystery & Thriller
Behind Closed Doors,B.A. Paris,Mystery & Thriller
Pretty Girls,Karin Slaughter,Mystery & Thriller
The Woman in White,Wilkie Collins,Mystery & Thriller
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Mollie Katzen,Food & Cookbooks
